LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,MSEstm,stmDrtn,MSEStmHz,MSEstmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS,MI,Thresholded
129,200819,3,1,73,30,10,2,0,1,1,20,400,1,5,4,0.772,70,12,NaN,,1,1
129,200819,3,1,104,30,10,2,0,0,1,20,400,0,0,0,0,0,0,NaN,,1,1
129,200819,3,1,134,30,10,2,0,1,1,20,400,1,5,0,0.754,62,16,NaN,,1,1
130,200819,3,1,2,30,10,2,0,1,1,1,400,0,0,0,0,0,0,NaN,,0,0
130,200819,3,1,12,30,10,2,0,0,1,1,400,0,0,0,0,0,0,NaN,,0,0
130,200819,3,1,22,30,10,2,0,1,1,8,400,0,1,7,0,0,0,NaN,,0,0
130,200819,3,1,33,0,10,2,0,0,1,8,400,0,0,0,0,0,0,NaN,,0,0
130,200819,3,1,43,30,10,2,0,1,1,20,400,1,4,1,0,50,16,NaN,,1,1
130,200819,3,1,73,30,10,2,0,0,1,20,400,0,0,0,0,0,0,NaN,,1,1
130,200819,3,1,104,30,10,2,0,1,1,20,400,1,5,3,0,41,36,NaN,,1,1
130,200819,3,1,134,30,10,2,0,0,1,20,400,0,0,0,0,0,0,NaN,,1,1
130,200819,3,2,62,0,250,2,0,1,1,20,400,1,5,4,0,62,18,NaN,,1,1
130,200819,3,2,92,0,250,2,0,0,1,20,400,0,0,0,0,0,0,NaN,,1,1
130,200819,3,2,122,0,250,2,0,1,1,1,400,1,2,2,0,24,23,NaN,,1,1
130,200819,3,2,152,30,250,2,0,0,1,1,400,0,0,0,0,0,0,NaN,,1,1
130,200819,3,2,182,30,300,2,0,1,1,20,400,1,4,4,0,65,11,NaN,,1,1
130,200819,3,2,212,30,300,2,0,0,1,20,400,0,0,0,0,0,0,NaN,,1,1
