LTR,Date,ExpNo1,ExpNo2,Num,RS,WDS
82,181112,1,1,6,0,2
83,181112,1,1,1,1,0
83,181112,1,1,2,1,0
83,181112,1,1,3,0,1
83,181112,1,1,4,0,0
83,181112,1,1,5,0,0
83,181112,1,1,6,1,0
82,181114,1,1,7,0,0
82,181114,1,1,8,0,1
82,181114,1,1,9,0,0
82,181114,1,1,10,1,4
82,181114,1,1,11,1,2
82,181114,1,1,12,1,0
83,181114,1,1,7,0,0
83,181114,1,1,8,0,0
83,181114,1,1,9,1,0
83,181114,1,1,10,1,0
83,181114,1,1,11,1,0
83,181114,1,1,12,1,0
82,181115,1,1,13,0,0
82,181115,1,1,14,1,1
82,181115,1,1,15,3,0
82,181115,1,1,16,1,0
82,181115,1,1,17,1,0
82,181115,1,1,18,1,0
83,181115,1,1,13,0,0
83,181115,1,1,14,0,0
83,181115,1,1,15,1,0
83,181115,1,1,16,1,0
83,181115,1,1,17,2,0
83,181115,1,1,18,1,0
82,181116,1,1,19,1,0
82,181116,1,1,20,1,1
82,181116,1,1,21,3,2
82,181116,1,1,22,3,2
82,181116,1,1,23,1,1
82,181116,1,1,24,2,0
83,181116,1,1,19,1,0
83,181116,1,1,20,2,0
83,181116,1,1,21,2,0
83,181116,1,1,22,2,0
83,181116,1,1,23,1,0
83,181116,1,1,24,2,0
82,181117,1,1,25,2,0
82,181117,1,1,26,1,0
82,181117,1,1,27,3,0
82,181117,1,1,28,3,0
82,181117,1,1,29,2,0
82,181117,1,1,30,1,0
83,181117,1,1,25,1,0
83,181117,1,1,26,1,0
83,181117,1,1,27,1,0
83,181117,1,1,28,1,0
83,181117,1,1,29,2,0
83,181117,1,1,30,2,0
82,181118,1,1,31,5,0
82,181118,1,1,32,1,1
82,181118,1,1,33,5,0
82,181118,1,1,34,5,0
82,181118,1,1,35,5,0
82,181118,1,1,36,1,2
83,181118,1,1,31,1,0
83,181118,1,1,32,3,0
83,181118,1,1,33,2,0
83,181118,1,1,34,1,0
83,181118,1,1,35,2,0
83,181118,1,1,36,2,0
82,181119,1,1,37,5,0
82,181119,1,1,38,2,0
82,181119,1,1,39,5,0
82,181119,1,1,40,2,0
82,181119,1,1,41,5,0
82,181119,1,1,42,2,0
83,181119,1,1,37,2,0
83,181119,1,1,38,2,0
83,181119,1,1,39,2,0
83,181119,1,1,40,2,0
83,181119,1,1,41,2,0
83,181119,1,1,42,2,0
82,181120,1,1,43,5,0
82,181120,1,1,44,4,0
82,181120,1,1,45,5,0
82,181120,1,1,46,2,0
82,181120,1,1,47,5,0
82,181120,1,1,48,2,0
83,181120,1,1,43,2,0
83,181120,1,1,44,2,0
83,181120,1,1,45,4,0
83,181120,1,1,46,2,0
83,181120,1,1,47,2,0
83,181120,1,1,48,4,0
82,181121,1,1,49,5,0
82,181121,1,1,50,5,0
82,181121,1,1,51,5,0
82,181121,1,1,52,5,0
82,181121,1,1,53,3,0
82,181121,1,1,54,5,0
83,181121,1,1,49,4,0
83,181121,1,1,50,4,0
83,181121,1,1,51,5,0
83,181121,1,1,52,5,0
83,181121,1,1,53,5,0
83,181121,1,1,54,5,0
82,181122,1,1,55,5,0
82,181122,1,1,56,4,2
82,181122,1,1,57,5,0
82,181122,1,1,58,5,0
82,181122,1,1,59,4,0
82,181122,1,1,60,5,0
83,181122,1,1,55,2,0
83,181122,1,1,56,2,0
83,181122,1,1,57,5,0
83,181122,1,1,58,4,0
83,181122,1,1,59,5,0
83,181122,1,1,60,5,0
88,190114,1,1,1,0,0
88,190114,1,1,2,0,2
88,190114,1,1,3,0,0
88,190114,1,1,4,0,1
88,190114,1,1,5,0,1
88,190114,1,1,6,0,0
90,190114,1,1,1,0,0
90,190114,1,1,2,0,0
90,190114,1,1,3,0,0
90,190114,1,1,4,0,1
90,190114,1,1,5,0,0
90,190114,1,1,6,3,0
88,190115,1,1,7,0,0
88,190115,1,1,8,0,0
88,190115,1,1,9,0,0
88,190115,1,1,10,0,0
88,190115,1,1,11,0,0
88,190115,1,1,12,0,0
90,190115,1,1,7,0,0
90,190115,1,1,8,0,0
90,190115,1,1,9,0,0
90,190115,1,1,10,0,0
90,190115,1,1,11,0,0
90,190115,1,1,12,0,0
88,190116,1,1,13,0,0
88,190116,1,1,14,0,0
88,190116,1,1,15,1,0
88,190116,1,1,16,1,0
88,190116,1,1,17,1,0
88,190116,1,1,18,1,0
90,190116,1,1,13,0,0
90,190116,1,1,14,0,0
90,190116,1,1,15,3,1
90,190116,1,1,16,2,0
90,190116,1,1,17,2,0
90,190116,1,1,18,2,0
88,190117,1,1,19,1,0
88,190117,1,1,20,1,0
88,190117,1,1,21,3,0
88,190117,1,1,22,2,0
88,190117,1,1,23,4,0
88,190117,1,1,24,3,0
90,190117,1,1,19,3,2
90,190117,1,1,20,3,0
90,190117,1,1,21,3,0
90,190117,1,1,22,4,0
90,190117,1,1,23,4,2
90,190117,1,1,24,4,2
88,190121,1,1,25,1,0
88,190121,1,1,26,4,0
88,190121,1,1,27,5,0
88,190121,1,1,28,5,0
88,190121,1,1,29,5,0
88,190121,1,1,30,2,0
90,190121,1,1,25,4,0
90,190121,1,1,26,2,0
90,190121,1,1,27,4,0
90,190121,1,1,28,4,2
90,190121,1,1,29,4,0
90,190121,1,1,30,4,0
88,190122,1,1,31,5,0
88,190122,1,1,32,4,0
88,190122,1,1,33,4,0
88,190122,1,1,34,5,0
88,190122,1,1,35,1,0
88,190122,1,1,36,5,0
90,190122,1,1,31,1,0
90,190122,1,1,32,4,0
90,190122,1,1,33,5,0
90,190122,1,1,34,5,0
90,190122,1,1,35,5,0
90,190122,1,1,36,5,0
88,190123,1,1,37,5,0
88,190123,1,1,38,5,0
88,190123,1,1,39,5,0
88,190123,1,1,40,2,0
88,190123,1,1,41,5,0
88,190123,1,1,42,5,0
90,190123,1,1,37,5,0
